0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199
67, 0, 20, 57, 21, 12, 35, 4, 68, 76, 13, 68, 55, 38, 47, 2, 87, 20, 77, 4, 68, 2, 47, 79, 49, 38, 67, 52, 68, 38, 68, 23, 38, 40, 13, 40, 34, 81, 20, 89, 57, 39, 42, 0, 56, 40, 9, 50, 71, 67, 0, 45, 9, 65, 68, 83, 63, 19, 82, 9, 7, 7, 16, 13, 59, 48, 23, 75, 40, 36, 21, 39, 24, 34, 68, 66, 4, 68, 9, 68, 68, 38, 1, 40, 59, 80, 76, 87, 54, 88, 9, 37, 37, 37, 37, 35, 68, 59, 20, 7, 0, 68, 50, 0, 42, 37, 4, 67, 49, 55, 79, 68, 7, 23, 85, 86, 58, 48, 47, 45, 7, 40, 4, 74, 13, 75, 64, 7, 84, 2, 33, 72, 67, 68, 83, 58, 39, 65, 69, 22, 68, 5, 40, 68, 9, 38, 0, 23, 37, 45, 42, 76, 87, 45, 40, 68, 36, 42, 55, 3, 38, 68, 87, 37, 40, 69, 38, 65, 1, 55, 87, 82, 42, 4, 40, 4, 68, 8, 31, 53, 82, 50, 6, 35, 40, 35, 25, 0, 82, 76, 68, 40, 29, 78, 67, 9, 4, 7, 9, 43
50, 0, 50, 7, 15, 27, 25, 27, 50, 77, 0, 50, 49, 29, 44, 13, 23, 50, 29, 27, 50, 35, 50, 27, 7, 27, 70, 29, 50, 27, 50, 6, 29, 29, 30, 29, 27, 26, 71, 50, 43, 24, 30, 0, 55, 29, 27, 50, 29, 40, 0, 2, 9, 7, 50, 49, 27, 15, 62, 67, 7, 7, 55, 30, 29, 6, 50, 55, 29, 50, 7, 28, 75, 29, 50, 29, 27, 50, 27, 50, 58, 7, 62, 29, 29, 15, 27, 9, 50, 27, 67, 28, 50, 26, 27, 50, 50, 29, 50, 27, 0, 50, 50, 0, 30, 27, 67, 49, 43, 50, 29, 50, 15, 35, 65, 50, 33, 72, 50, 18, 6, 4, 27, 64, 44, 78, 73, 67, 50, 19, 27, 67, 49, 40, 29, 7, 24, 32, 50, 46, 70, 2, 29, 50, 29, 29, 29, 35, 25, 35, 55, 65, 27, 7, 67, 50, 25, 30, 50, 50, 27, 50, 74, 25, 29, 27, 9, 6, 75, 49, 27, 46, 55, 57, 67, 29, 50, 29, 7, 27, 76, 43, 7, 28, 29, 50, 43, 0, 64, 6, 50, 29, 4, 50, 49, 67, 23, 27, 9, 29
26, 0, 26, 4, 14, 16, 26, 14, 26, 16, 0, 26, 26, 16, 13, 7, 16, 26, 33, 14, 26, 22, 26, 14, 14, 14, 20, 14, 26, 14, 26, 3, 16, 16, 17, 33, 14, 13, 26, 26, 20, 11, 27, 0, 17, 16, 14, 26, 16, 26, 0, 7, 14, 3, 26, 45, 14, 20, 10, 16, 3, 14, 27, 17, 16, 3, 44, 17, 16, 26, 14, 11, 39, 16, 26, 16, 14, 26, 16, 26, 44, 3, 13, 16, 16, 14, 14, 14, 26, 16, 28, 13, 26, 26, 14, 26, 26, 16, 26, 14, 16, 26, 26, 0, 17, 14, 16, 26, 4, 26, 16, 26, 20, 4, 44, 26, 14, 23, 26, 3, 4, 14, 16, 13, 0, 18, 26, 14, 26, 7, 14, 16, 26, 25, 16, 14, 15, 14, 26, 10, 34, 7, 16, 26, 16, 16, 0, 14, 13, 7, 17, 14, 14, 14, 16, 26, 26, 27, 26, 26, 14, 26, 32, 13, 16, 3, 16, 7, 10, 26, 14, 10, 17, 14, 16, 16, 26, 16, 14, 43, 26, 26, 20, 26, 16, 26, 20, 16, 26, 3, 26, 16, 14, 26, 25, 14, 16, 14, 14, 16
16, 9, 16, 2, 12, 7, 16, 7, 16, 9, 0, 16, 16, 9, 6, 12, 7, 16, 7, 7, 27, 3, 16, 7, 7, 7, 12, 7, 16, 7, 16, 7, 20, 9, 10, 9, 7, 16, 16, 16, 7, 16, 6, 0, 6, 7, 7, 16, 9, 16, 9, 3, 7, 7, 16, 6, 7, 12, 16, 9, 12, 2, 17, 10, 9, 26, 16, 14, 9, 16, 7, 16, 12, 7, 16, 9, 7, 16, 4, 16, 16, 1, 6, 9, 9, 7, 7, 9, 16, 7, 0, 16, 16, 16, 7, 16, 16, 9, 16, 7, 9, 27, 16, 0, 10, 7, 9, 16, 7, 16, 9, 16, 6, 6, 6, 16, 3, 10, 16, 7, 7, 0, 7, 6, 0, 6, 25, 7, 16, 12, 7, 7, 16, 16, 9, 12, 16, 7, 16, 4, 16, 11, 9, 16, 9, 9, 9, 7, 16, 3, 14, 7, 7, 7, 9, 16, 6, 10, 16, 16, 7, 16, 6, 6, 9, 7, 9, 12, 4, 16, 9, 6, 10, 7, 9, 9, 16, 9, 7, 2, 16, 12, 7, 16, 9, 16, 12, 9, 16, 1, 16, 9, 7, 16, 16, 7, 9, 7, 9, 9
12, 7, 12, 6, 3, 6, 12, 6, 12, 7, 7, 12, 12, 6, 8, 6, 6, 12, 6, 6, 12, 3, 12, 6, 10, 6, 3, 6, 12, 7, 12, 10, 7, 6, 5, 7, 6, 12, 12, 12, 10, 5, 5, 7, 5, 7, 6, 12, 7, 12, 7, 5, 6, 6, 12, 12, 6, 6, 12, 6, 6, 2, 5, 8, 7, 5, 12, 5, 6, 12, 6, 12, 2, 7, 12, 7, 6, 12, 6, 12, 12, 16, 12, 7, 6, 3, 6, 6, 12, 6, 18, 12, 12, 12, 6, 12, 12, 7, 12, 6, 7, 12, 12, 7, 8, 6, 6, 12, 10, 12, 7, 12, 3, 6, 5, 3, 6, 5, 12, 6, 6, 6, 6, 5, 0, 5, 12, 6, 12, 6, 6, 6, 12, 12, 7, 6, 12, 6, 12, 5, 12, 5, 7, 12, 6, 7, 7, 6, 12, 3, 5, 6, 6, 6, 6, 12, 12, 8, 12, 12, 6, 12, 5, 12, 7, 6, 6, 10, 4, 12, 7, 5, 8, 6, 7, 7, 12, 6, 6, 6, 12, 12, 6, 12, 6, 12, 10, 7, 12, 6, 12, 6, 6, 12, 12, 6, 6, 2, 7, 6
9, 6, 9, 5, 5, 5, 9, 5, 9, 5, 6, 9, 9, 5, 4, 5, 5, 9, 6, 5, 9, 5, 9, 5, 5, 5, 8, 5, 9, 5, 9, 5, 5, 5, 4, 5, 5, 9, 9, 9, 5, 9, 4, 6, 4, 5, 5, 9, 6, 9, 6, 4, 5, 5, 9, 4, 5, 8, 9, 5, 5, 5, 4, 4, 5, 4, 9, 4, 6, 9, 2, 9, 5, 5, 9, 5, 5, 9, 5, 9, 9, 9, 9, 6, 6, 5, 5, 5, 9, 5, 6, 9, 9, 9, 5, 9, 9, 5, 9, 5, 6, 9, 9, 6, 4, 5, 5, 9, 5, 9, 5, 9, 4, 5, 4, 9, 5, 12, 9, 5, 5, 5, 5, 4, 6, 4, 9, 5, 9, 5, 5, 5, 9, 9, 5, 5, 4, 5, 9, 4, 9, 4, 6, 9, 5, 6, 5, 5, 9, 2, 4, 5, 5, 5, 5, 9, 9, 4, 9, 9, 5, 9, 4, 9, 5, 5, 5, 5, 9, 9, 5, 4, 4, 6, 5, 5, 9, 5, 5, 5, 9, 9, 5, 9, 5, 9, 5, 6, 9, 5, 9, 6, 5, 9, 9, 5, 6, 5, 5, 6
5, 3, 5, 2, 2, 2, 5, 2, 5, 2, 3, 5, 5, 2, 1, 2, 2, 5, 3, 2, 5, 2, 5, 2, 2, 2, 0, 2, 5, 2, 5, 2, 2, 2, 1, 3, 2, 5, 5, 5, 2, 5, 1, 3, 1, 2, 2, 5, 2, 5, 3, 1, 2, 2, 5, 1, 2, 0, 1, 2, 2, 2, 1, 1, 3, 1, 5, 1, 3, 1, 2, 5, 2, 2, 5, 3, 2, 5, 2, 5, 5, 2, 5, 3, 3, 2, 2, 2, 5, 2, 3, 5, 5, 1, 2, 5, 5, 2, 5, 2, 3, 5, 5, 3, 1, 2, 2, 5, 2, 5, 2, 5, 1, 2, 1, 5, 0, 1, 5, 2, 2, 2, 2, 1, 3, 1, 5, 2, 5, 2, 2, 2, 5, 5, 3, 2, 5, 2, 5, 5, 5, 1, 3, 5, 2, 3, 3, 2, 5, 0, 1, 2, 2, 2, 2, 5, 5, 1, 5, 5, 2, 5, 1, 5, 2, 2, 2, 2, 1, 5, 2, 5, 1, 2, 2, 2, 5, 2, 2, 2, 5, 7, 2, 5, 2, 5, 2, 3, 5, 2, 5, 3, 2, 5, 5, 2, 2, 2, 2, 3
4, 3, 4, 2, 2, 2, 4, 2, 4, 2, 3, 4, 4, 2, 1, 2, 2, 4, 3, 2, 4, 2, 4, 2, 2, 2, 0, 2, 4, 2, 4, 2, 2, 3, 1, 3, 2, 4, 4, 4, 2, 4, 1, 3, 1, 3, 2, 4, 2, 4, 3, 1, 2, 2, 4, 1, 2, 2, 1, 2, 2, 2, 1, 1, 3, 1, 4, 1, 2, 1, 2, 4, 2, 2, 4, 3, 2, 4, 2, 4, 4, 0, 4, 3, 3, 2, 2, 2, 4, 2, 3, 4, 4, 4, 2, 4, 4, 2, 4, 2, 3, 4, 4, 3, 1, 2, 2, 4, 2, 4, 2, 4, 1, 1, 1, 4, 2, 1, 4, 2, 2, 2, 2, 1, 3, 1, 4, 2, 4, 2, 2, 2, 4, 4, 3, 0, 4, 2, 4, 1, 4, 1, 3, 4, 2, 2, 3, 2, 4, 4, 1, 2, 2, 2, 2, 4, 4, 1, 4, 4, 2, 4, 1, 4, 2, 2, 2, 1, 1, 4, 2, 1, 1, 2, 3, 2, 4, 2, 2, 2, 4, 4, 2, 1, 3, 4, 2, 3, 4, 2, 4, 3, 2, 4, 4, 2, 2, 2, 2, 2
4, 3, 4, 2, 2, 2, 4, 2, 4, 2, 3, 4, 4, 2, 1, 2, 2, 4, 3, 2, 4, 2, 4, 2, 2, 2, 0, 2, 4, 2, 4, 2, 2, 2, 1, 2, 2, 1, 4, 4, 2, 4, 1, 3, 1, 2, 2, 4, 3, 4, 3, 4, 2, 2, 4, 4, 2, 2, 1, 2, 4, 2, 1, 1, 3, 1, 4, 1, 2, 4, 2, 4, 2, 2, 4, 2, 2, 4, 2, 4, 4, 4, 4, 3, 3, 2, 2, 2, 4, 2, 3, 4, 4, 4, 2, 4, 4, 2, 4, 2, 3, 4, 4, 3, 1, 2, 2, 4, 0, 4, 2, 4, 4, 2, 1, 4, 2, 1, 4, 2, 0, 2, 2, 4, 3, 1, 4, 2, 4, 2, 2, 2, 4, 4, 3, 2, 4, 2, 4, 1, 4, 1, 3, 4, 2, 2, 3, 2, 4, 4, 1, 2, 2, 2, 2, 4, 4, 1, 4, 4, 2, 4, 1, 4, 2, 2, 2, 4, 4, 4, 2, 1, 1, 2, 2, 2, 4, 2, 2, 2, 4, 4, 2, 4, 3, 4, 2, 3, 4, 2, 4, 3, 2, 4, 4, 2, 2, 2, 2, 2
4, 3, 4, 0, 2, 2, 4, 2, 4, 2, 3, 4, 4, 2, 1, 2, 2, 4, 2, 2, 4, 2, 4, 2, 2, 2, 0, 2, 4, 2, 4, 2, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 1, 3, 1, 2, 2, 4, 2, 4, 2, 1, 2, 2, 4, 1, 2, 2, 1, 2, 0, 2, 1, 1, 3, 1, 4, 1, 2, 4, 2, 4, 2, 3, 4, 3, 2, 4, 2, 4, 4, 2, 4, 3, 2, 2, 2, 2, 4, 2, 3, 4, 4, 4, 2, 4, 4, 2, 4, 2, 3, 4, 4, 3, 1, 2, 2, 4, 2, 4, 2, 4, 1, 2, 1, 4, 2, 1, 4, 2, 2, 2, 2, 4, 3, 1, 4, 2, 4, 2, 2, 2, 4, 4, 2, 2, 1, 2, 4, 4, 4, 1, 2, 4, 2, 3, 3, 2, 4, 4, 1, 2, 2, 2, 2, 4, 4, 1, 4, 4, 2, 4, 1, 1, 2, 2, 2, 2, 1, 4, 2, 1, 1, 2, 2, 2, 4, 2, 2, 2, 4, 4, 2, 4, 2, 4, 2, 3, 4, 2, 4, 2, 2, 4, 4, 2, 2, 2, 2, 2
