4.424979365169635090e-04,nan,2.634102427523197110e-04,nan,nan
4.172474048501500252e-04,nan,2.069992683860821857e-04,nan,nan
7.230435730896791558e-04,nan,3.367905031149434842e-04,nan,nan
1.153628523797235695e-03,nan,5.098801537874855577e-04,nan,nan
1.675418834675907733e-03,nan,7.200987495772050639e-04,nan,nan
2.195972778566989119e-03,nan,9.571056140560391763e-04,nan,nan
2.594680100411479295e-03,nan,1.217268146724085221e-03,nan,nan
2.802037246226107489e-03,nan,1.517210884980900801e-03,nan,nan
2.857539850692508276e-03,nan,1.895692634040898380e-03,nan,nan
2.880009271232944305e-03,nan,2.398281041832237698e-03,nan,nan
2.985630916132487982e-03,nan,3.057236489994051478e-03,nan,nan
3.271135734427786049e-03,nan,3.881418894832118754e-03,nan,nan
3.805381262496117765e-03,nan,4.861604635042351442e-03,nan,nan
4.654828734290649729e-03,nan,5.990951543798840595e-03,nan,nan
5.922655260095026873e-03,nan,7.287028342627158498e-03,nan,nan
7.675836653685996075e-03,nan,8.789381582947277879e-03,nan,nan
9.872445861736099670e-03,nan,1.051790030962398634e-02,nan,nan
1.235945754563067857e-02,nan,1.242040366539137221e-02,nan,nan
1.496553447847869325e-02,nan,1.441856568686460290e-02,nan,nan
1.768020299164455716e-02,nan,1.657336767532751817e-02,nan,nan
2.080493400778165788e-02,nan,1.928693928130898946e-02,nan,nan
2.493952180981951969e-02,nan,2.340530013801265380e-02,nan,nan
3.069779993743845803e-02,nan,2.997481578401640576e-02,nan,nan
3.812703511916393923e-02,nan,3.947475858292105039e-02,nan,nan
4.643827912685016129e-02,nan,5.101176486379787461e-02,nan,nan
5.525881024950145964e-02,nan,6.303702819169741678e-02,nan,nan
6.771393699530044163e-02,nan,7.658576605089266465e-02,nan,nan
9.149742006987536536e-02,nan,9.758694599081955967e-02,nan,nan
1.266802348939328748e-01,nan,1.260157800785123017e-01,nan,nan
1.473673219058522499e-01,nan,1.396192198733727519e-01,nan,nan
2.495395209258007285e-01,nan,2.361810850989380650e-01,nan,nan
