0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199
10, 70, 66, 64, 77, 29, 21, 59, 52, 98, 51, 10, 63, 70, 72, 56, 70, 67, 18, 84, 34, 8, 14, 33, 8, 59, 79, 26, 10, 85, 63, 17, 60, 89, 6, 18, 99, 90, 66, 66, 77, 81, 24, 70, 72, 82, 59, 22, 78, 66, 70, 68, 26, 56, 10, 0, 33, 64, 27, 59, 90, 90, 72, 6, 58, 74, 22, 7, 82, 46, 8, 90, 33, 70, 16, 11, 3, 0, 33, 0, 16, 11, 90, 98, 82, 93, 29, 84, 66, 98, 59, 90, 46, 21, 60, 81, 10, 98, 0, 20, 70, 52, 23, 51, 6, 70, 78, 52, 13, 52, 98, 50, 29, 11, 42, 25, 41, 32, 32, 33, 29, 98, 59, 90, 40, 24, 20, 33, 50, 8, 26, 84, 10, 10, 70, 17, 90, 17, 23, 97, 66, 54, 5, 10, 61, 70, 70, 77, 21, 29, 24, 78, 33, 64, 98, 14, 21, 24, 10, 66, 78, 56, 73, 47, 82, 91, 70, 78, 27, 52, 78, 90, 6, 85, 18, 70, 10, 18, 90, 4, 45, 56, 29, 81, 98, 50, 8, 70, 45, 83, 38, 36, 78, 50, 52, 61, 91, 90, 78, 19
7, 49, 22, 54, 17, 23, 62, 41, 7, 66, 49, 46, 44, 41, 6, 54, 41, 69, 66, 54, 7, 23, 73, 25, 49, 41, 39, 21, 7, 49, 44, 54, 49, 66, 19, 49, 15, 62, 71, 7, 12, 68, 19, 49, 4, 68, 41, 46, 49, 7, 49, 6, 66, 54, 7, 70, 23, 54, 22, 54, 23, 23, 4, 76, 49, 58, 17, 19, 57, 62, 23, 62, 25, 49, 46, 49, 23, 7, 25, 35, 47, 51, 62, 49, 54, 17, 23, 54, 7, 66, 49, 62, 62, 62, 41, 35, 7, 13, 72, 41, 49, 46, 35, 49, 50, 41, 54, 37, 23, 7, 66, 35, 23, 12, 62, 46, 23, 6, 7, 62, 62, 66, 66, 62, 49, 19, 62, 23, 35, 17, 25, 41, 46, 7, 49, 71, 62, 54, 7, 62, 0, 6, 49, 7, 66, 49, 49, 4, 62, 17, 19, 54, 21, 54, 41, 10, 16, 74, 37, 46, 54, 35, 75, 62, 57, 54, 41, 54, 62, 37, 41, 62, 4, 14, 66, 49, 46, 66, 62, 54, 16, 39, 62, 62, 66, 35, 39, 49, 46, 58, 47, 13, 54, 35, 7, 49, 54, 23, 49, 13
3, 23, 3, 34, 43, 30, 29, 30, 16, 30, 23, 3, 3, 30, 2, 48, 19, 3, 30, 19, 3, 2, 3, 12, 34, 30, 18, 6, 3, 19, 20, 28, 23, 30, 41, 30, 19, 29, 3, 3, 34, 29, 11, 23, 37, 26, 23, 3, 23, 24, 23, 2, 30, 26, 3, 35, 14, 26, 29, 26, 14, 29, 2, 1, 23, 28, 29, 42, 26, 29, 14, 29, 29, 26, 3, 19, 19, 3, 30, 34, 36, 5, 29, 30, 26, 40, 14, 19, 3, 30, 19, 29, 29, 29, 19, 3, 3, 30, 13, 19, 23, 3, 16, 23, 45, 19, 26, 3, 14, 3, 30, 16, 2, 28, 29, 3, 14, 41, 3, 29, 14, 30, 30, 29, 23, 11, 29, 14, 16, 14, 6, 26, 24, 3, 23, 5, 29, 10, 21, 29, 46, 2, 23, 3, 30, 23, 23, 10, 29, 29, 11, 26, 14, 28, 30, 3, 29, 2, 3, 3, 26, 16, 28, 29, 26, 28, 19, 26, 29, 17, 26, 29, 34, 19, 30, 30, 47, 30, 14, 35, 29, 18, 14, 29, 23, 29, 44, 23, 29, 29, 3, 6, 23, 16, 3, 30, 26, 14, 23, 30
2, 16, 20, 18, 9, 21, 20, 13, 2, 21, 16, 2, 2, 16, 1, 30, 3, 2, 21, 16, 2, 38, 2, 9, 9, 16, 30, 21, 2, 13, 2, 20, 21, 21, 1, 21, 18, 20, 2, 2, 3, 20, 6, 16, 1, 18, 21, 2, 16, 17, 16, 1, 21, 20, 2, 20, 21, 30, 20, 16, 20, 21, 1, 28, 16, 20, 20, 1, 18, 20, 1, 20, 20, 16, 2, 16, 21, 2, 9, 20, 36, 20, 20, 16, 18, 26, 7, 13, 2, 21, 21, 20, 20, 20, 21, 20, 2, 16, 20, 3, 16, 2, 20, 16, 0, 21, 18, 2, 1, 2, 16, 30, 1, 20, 20, 2, 9, 20, 2, 9, 9, 21, 21, 20, 39, 6, 2, 9, 20, 9, 21, 16, 2, 2, 16, 18, 20, 22, 2, 20, 37, 1, 18, 2, 21, 16, 16, 3, 20, 26, 1, 18, 21, 19, 21, 2, 20, 1, 2, 2, 18, 30, 20, 20, 18, 19, 16, 19, 20, 2, 18, 20, 0, 21, 16, 16, 2, 21, 21, 18, 20, 35, 9, 20, 16, 10, 18, 16, 2, 20, 2, 4, 13, 10, 2, 16, 18, 21, 16, 21
2, 10, 14, 16, 3, 15, 14, 15, 2, 15, 10, 2, 2, 10, 1, 19, 9, 2, 15, 15, 2, 7, 2, 10, 3, 15, 19, 15, 2, 15, 2, 14, 10, 15, 1, 15, 15, 2, 14, 14, 3, 2, 5, 10, 1, 12, 15, 2, 10, 14, 10, 14, 15, 14, 2, 14, 15, 16, 14, 15, 7, 15, 1, 18, 10, 13, 14, 1, 10, 14, 1, 2, 7, 10, 2, 12, 15, 2, 7, 14, 26, 14, 14, 10, 12, 7, 7, 12, 2, 15, 12, 14, 14, 14, 15, 2, 22, 10, 14, 15, 10, 2, 19, 10, 18, 15, 12, 2, 7, 2, 10, 19, 1, 3, 14, 2, 7, 3, 25, 7, 7, 15, 15, 14, 10, 5, 14, 15, 14, 7, 15, 10, 14, 2, 10, 3, 2, 16, 2, 14, 22, 1, 10, 2, 10, 10, 10, 3, 2, 14, 1, 14, 15, 14, 15, 2, 14, 1, 2, 2, 12, 19, 14, 2, 12, 12, 10, 3, 14, 11, 12, 14, 0, 15, 15, 10, 2, 10, 15, 12, 14, 19, 7, 2, 15, 2, 19, 10, 14, 12, 2, 10, 10, 14, 11, 15, 12, 15, 10, 10
2, 7, 11, 9, 6, 12, 2, 12, 2, 12, 7, 2, 11, 12, 1, 15, 12, 2, 7, 7, 2, 5, 18, 12, 1, 12, 15, 12, 11, 12, 2, 3, 12, 7, 1, 7, 12, 11, 20, 2, 6, 11, 4, 7, 1, 7, 12, 11, 7, 11, 7, 1, 12, 9, 2, 11, 12, 9, 11, 12, 5, 12, 1, 0, 7, 8, 11, 1, 9, 11, 5, 2, 12, 7, 2, 12, 7, 2, 11, 19, 18, 2, 2, 7, 7, 5, 5, 12, 2, 12, 9, 11, 11, 2, 7, 8, 2, 7, 19, 7, 7, 2, 18, 7, 0, 7, 9, 2, 5, 2, 7, 11, 11, 3, 11, 2, 5, 2, 11, 5, 5, 12, 12, 11, 7, 4, 12, 12, 2, 5, 12, 7, 8, 11, 7, 6, 2, 3, 16, 11, 8, 1, 7, 8, 12, 7, 7, 5, 2, 5, 1, 11, 12, 3, 7, 18, 2, 1, 2, 2, 9, 2, 11, 11, 9, 3, 9, 11, 11, 8, 9, 11, 21, 7, 7, 7, 2, 7, 5, 9, 11, 15, 5, 2, 7, 2, 15, 7, 11, 3, 2, 7, 7, 11, 8, 12, 7, 11, 9, 12
10, 7, 10, 9, 5, 7, 10, 7, 2, 7, 7, 2, 2, 7, 1, 7, 11, 2, 11, 7, 2, 7, 8, 7, 5, 7, 12, 11, 2, 7, 2, 3, 11, 7, 1, 7, 11, 10, 10, 2, 7, 2, 4, 7, 1, 7, 7, 10, 7, 10, 7, 1, 7, 9, 2, 10, 5, 9, 11, 7, 5, 11, 1, 2, 7, 10, 10, 1, 7, 10, 5, 10, 11, 7, 2, 7, 7, 2, 5, 10, 8, 10, 2, 7, 7, 5, 5, 9, 2, 7, 11, 2, 10, 10, 7, 10, 2, 7, 2, 7, 7, 2, 2, 7, 2, 11, 7, 2, 7, 8, 7, 12, 10, 10, 10, 2, 5, 17, 2, 5, 5, 7, 7, 2, 7, 1, 11, 11, 2, 5, 7, 7, 10, 2, 7, 8, 10, 5, 2, 10, 6, 1, 7, 2, 7, 7, 7, 5, 2, 1, 1, 9, 5, 9, 7, 2, 10, 1, 2, 2, 9, 10, 10, 10, 7, 9, 7, 10, 10, 8, 9, 11, 2, 7, 7, 7, 2, 7, 5, 7, 10, 12, 1, 2, 11, 10, 9, 7, 2, 7, 2, 7, 7, 9, 8, 7, 9, 5, 9, 7
1, 6, 9, 8, 4, 6, 1, 6, 1, 6, 6, 1, 1, 6, 0, 8, 6, 1, 6, 6, 1, 6, 1, 10, 6, 6, 11, 10, 1, 6, 1, 8, 6, 6, 1, 6, 6, 9, 1, 9, 8, 1, 9, 6, 1, 6, 6, 1, 6, 1, 6, 0, 10, 8, 1, 9, 4, 8, 1, 6, 6, 10, 3, 0, 6, 9, 1, 0, 6, 9, 6, 1, 10, 6, 1, 6, 6, 1, 10, 1, 14, 1, 1, 6, 6, 4, 6, 6, 1, 6, 10, 9, 9, 9, 6, 1, 1, 6, 1, 6, 6, 1, 1, 6, 0, 6, 6, 1, 4, 1, 6, 11, 0, 1, 9, 1, 4, 1, 9, 4, 4, 6, 6, 9, 6, 0, 1, 10, 1, 4, 6, 6, 1, 1, 6, 8, 1, 13, 1, 9, 15, 0, 6, 1, 6, 6, 6, 6, 1, 9, 0, 8, 6, 6, 6, 1, 9, 0, 1, 1, 6, 1, 9, 1, 6, 8, 6, 8, 9, 7, 6, 9, 1, 6, 6, 6, 1, 6, 4, 8, 9, 9, 4, 1, 6, 1, 8, 6, 1, 6, 1, 6, 6, 1, 7, 6, 6, 6, 6, 6
1, 4, 1, 6, 4, 4, 1, 4, 1, 4, 4, 1, 7, 4, 7, 6, 4, 1, 4, 4, 7, 4, 1, 4, 4, 4, 6, 4, 1, 4, 1, 4, 4, 4, 7, 4, 4, 7, 1, 1, 4, 7, 0, 4, 0, 4, 4, 7, 4, 1, 4, 0, 4, 6, 1, 7, 8, 3, 7, 4, 4, 4, 0, 1, 4, 7, 7, 0, 4, 7, 4, 7, 8, 4, 1, 4, 4, 1, 4, 7, 13, 3, 1, 4, 4, 8, 4, 4, 1, 4, 1, 7, 7, 7, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 1, 4, 6, 1, 3, 1, 4, 1, 7, 7, 7, 1, 8, 1, 1, 4, 3, 4, 4, 7, 4, 0, 1, 8, 1, 3, 4, 4, 1, 7, 4, 4, 7, 4, 1, 7, 1, 7, 4, 1, 4, 4, 4, 4, 7, 0, 0, 4, 4, 4, 4, 1, 7, 0, 1, 1, 4, 6, 7, 1, 4, 6, 4, 1, 1, 1, 4, 7, 7, 4, 4, 4, 1, 4, 4, 6, 7, 9, 8, 1, 4, 1, 6, 4, 1, 4, 1, 4, 4, 1, 1, 4, 4, 4, 6, 4
1, 3, 1, 3, 4, 2, 5, 3, 1, 3, 3, 1, 5, 3, 0, 4, 3, 1, 3, 3, 5, 3, 1, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 5, 3, 3, 5, 5, 1, 3, 5, 5, 3, 0, 3, 3, 1, 3, 1, 3, 0, 3, 3, 1, 5, 6, 3, 5, 3, 3, 3, 5, 0, 3, 5, 5, 0, 3, 5, 3, 5, 6, 3, 1, 3, 3, 1, 6, 5, 1, 1, 1, 3, 3, 3, 3, 3, 1, 3, 9, 5, 5, 5, 3, 1, 1, 3, 1, 3, 3, 1, 1, 3, 0, 3, 3, 5, 3, 1, 3, 5, 0, 3, 5, 5, 3, 0, 5, 3, 3, 3, 3, 5, 3, 0, 1, 6, 5, 3, 3, 3, 1, 1, 3, 3, 5, 3, 1, 5, 1, 0, 3, 1, 3, 3, 3, 3, 5, 0, 0, 3, 3, 4, 3, 1, 5, 0, 1, 1, 3, 1, 5, 5, 3, 3, 3, 1, 5, 1, 3, 5, 1, 3, 3, 3, 1, 3, 3, 3, 5, 4, 3, 1, 3, 1, 3, 3, 5, 3, 1, 3, 3, 1, 1, 3, 3, 3, 3, 3
