4.896099288534030953e-06,nan,1.491579391435269958e-05,nan,5.187990776975432686e-05,nan,2.766621053187527440e-04,nan,nan
3.422787511436178117e-06,nan,1.200641682293499835e-05,nan,4.518626219216021942e-05,nan,2.507653134058466463e-04,nan,nan
4.584361333720171045e-06,nan,1.685533181497125520e-05,nan,7.611843097763605777e-05,nan,4.438502339494012207e-04,nan,nan
5.702023601965603327e-06,nan,2.173675512487528767e-05,nan,1.233727424546223427e-04,nan,7.629212435909164900e-04,nan,nan
7.371823390497947608e-06,nan,2.812779942401107231e-05,nan,1.964143990027541564e-04,nan,1.278181457584908528e-03,nan,nan
1.032641113519497617e-05,nan,3.817383643134409700e-05,nan,3.088972722424391843e-04,nan,2.082999099852753111e-03,nan,nan
1.470959384210443160e-05,nan,5.364591521526328811e-05,nan,4.774201391515911757e-04,nan,3.290839187723474182e-03,nan,nan
1.987140966150489370e-05,nan,7.686697964286578956e-05,nan,7.205368004473233605e-04,nan,5.030193222815064653e-03,nan,nan
2.475263422822790866e-05,nan,1.089165398694054182e-04,nan,1.056009290050446666e-03,nan,7.428624143499936751e-03,nan,nan
2.932811710450471712e-05,nan,1.467771760890437718e-04,nan,1.499060171339344815e-03,nan,1.058389226481749705e-02,nan,nan
3.471933003464787611e-05,nan,1.939797073570223964e-04,nan,2.058670476146687474e-03,nan,1.452343059180965026e-02,nan,nan
4.205148878391778744e-05,nan,2.548148042023879139e-04,nan,2.730272026493937854e-03,nan,1.916396711832617575e-02,nan,nan
5.198438207579684557e-05,nan,3.250803308185439434e-04,nan,3.490990230221928132e-03,nan,2.428821869670685571e-02,nan,nan
6.431101602059793561e-05,nan,3.990543498155032023e-04,nan,4.301548387362419575e-03,nan,2.954780421928136780e-02,nan,nan
7.860949946709278567e-05,nan,4.742706408818325183e-04,nan,5.119505267047342462e-03,nan,3.450260818448343259e-02,nan,nan
9.674362029096004025e-05,nan,5.567624181872990593e-04,nan,5.930374743858379816e-03,nan,3.870155737082050379e-02,nan,nan
1.279178209429739348e-04,nan,6.735522718094410621e-04,nan,6.809986046812632407e-03,nan,4.180072513703226439e-02,nan,nan
1.971135864733645094e-04,nan,9.019635044854394093e-04,nan,8.032571056155244152e-03,nan,4.371203106931664112e-02,nan,nan
3.537036748239753164e-04,nan,1.424773310922751142e-03,nan,1.021737987169458670e-02,nan,4.475058589932395109e-02,nan,nan
6.857733470859899219e-04,nan,2.610331930041082365e-03,nan,1.444728305084748768e-02,nan,4.570369920760861820e-02,nan,nan
1.329484788625091797e-03,nan,5.083442309143468285e-03,nan,2.219788950626285645e-02,nan,4.771700068887116397e-02,nan,nan
2.442974463195691538e-03,nan,9.689527494246379796e-03,nan,3.484828230220556738e-02,nan,5.185064200332255291e-02,nan,nan
4.132159930826250112e-03,nan,1.721932853281430559e-02,nan,5.268487954620171276e-02,nan,5.836576661757283957e-02,nan,nan
6.380209002461327550e-03,nan,2.787786135557870221e-02,nan,7.374802686306199118e-02,nan,6.612703501374347925e-02,nan,nan
9.295731217834838495e-03,nan,4.096383981965414506e-02,nan,9.348883755961927278e-02,nan,7.250183913810319403e-02,nan,nan
1.472361885262764118e-02,nan,5.602794002432163328e-02,nan,1.064704107697850705e-01,nan,7.438159187548422369e-02,nan,nan
3.083557657138182029e-02,nan,7.639869542488006426e-02,nan,1.100677676778514386e-01,nan,7.005588109724525392e-02,nan,nan
7.560755950499442601e-02,nan,1.101325320239513461e-01,nan,1.070013562940846513e-01,nan,6.042820602640144867e-02,nan,nan
1.579119185749330301e-01,nan,1.555930344403470278e-01,nan,1.013334782497566783e-01,nan,4.813289674901927162e-02,nan,nan
2.341171019071759396e-01,nan,1.820411630988467977e-01,nan,9.051199333844096862e-02,nan,3.532593201863919175e-02,nan,nan
4.613657721588513283e-01,nan,3.106400296633417546e-01,nan,1.399536013204579765e-01,nan,4.698965300432933478e-02,nan,nan
